B,empirical_illegal_mass,analytic_bound,ratio,L1_gap,2x_illegal_mass,max_grad_illegal,grad_bound
5,6.852963150784e-03,3.861595094533e-02,5.634928,1.370592630157e-02,1.370592630157e-02,2.140517592839e-03,5.516564420761e-03
10,4.649135933503e-05,2.601922307889e-04,5.596572,9.298271867002e-05,9.298271867007e-05,1.452153913308e-05,3.717031868413e-05
15,3.132707813653e-07,1.753161460629e-06,5.596313,6.265415626811e-07,6.265415627306e-07,9.784987954565e-08,2.504516372328e-07
20,2.110802577999e-09,1.181270900256e-08,5.596312,4.221605110761e-09,4.221605155998e-09,6.593075073956e-10,1.687529857509e-09
25,1.422247592591e-11,7.959340717487e-11,5.596312,2.844504349402e-11,2.844495185182e-11,4.442379050245e-12,1.137048673927e-11
30,9.583028898589e-14,5.362961590209e-13,5.596312,1.916425360110e-13,1.916605779718e-13,2.993251459082e-14,7.661373700298e-14
35,6.456994080940e-16,3.613535095296e-15,5.596312,1.311833222869e-15,1.291398816188e-15,2.016836968623e-16,5.162192993280e-16
