# Meta: {"timestamp": "2025-09-05 22:57:20", "how_to_run": "python3 simulation.py", "task": "Synthetic logistic regression", "N_train": 2000, "N_test": 1000, "d": 20, "epochs": 20, "seeds": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], "software": {"python": "3.13.5", "numpy": "2.3.2", "platform": "Windows-11-10.0.26100-SP0"}, "params": {"SGD": {"eta": 0.05}, "SGDM": {"eta": 0.05, "momentum": 0.9}, "SGDCosine": {"eta0": 0.05, "schedule": "cosine over epochs"}, "RMSprop": {"eta": 0.01, "rho": 0.99, "eps": 1e-08}, "Adam": {"eta": 0.02, "beta1": 0.9, "beta2": 0.999, "eps": 1e-08}, "AdamW": {"eta": 0.02, "beta1": 0.9, "beta2": 0.999, "eps": 1e-08, "weight_decay": 0.0001}, "Align_SGD": {"eta_base": 0.05, "target_align": 0.7, "beta": 2.0, "W": 50}, "EB_SGD": {"eta_base": 0.03, "entropy_target": 0.65, "alpha": 2.0, "W": 50}}}
epoch,loss_SGD_mean,loss_SGD_ci,acc_SGD_mean,acc_SGD_ci,loss_SGDM_mean,loss_SGDM_ci,acc_SGDM_mean,acc_SGDM_ci,loss_SGDCosine_mean,loss_SGDCosine_ci,acc_SGDCosine_mean,acc_SGDCosine_ci,loss_RMSprop_mean,loss_RMSprop_ci,acc_RMSprop_mean,acc_RMSprop_ci,loss_Adam_mean,loss_Adam_ci,acc_Adam_mean,acc_Adam_ci,loss_AdamW_mean,loss_AdamW_ci,acc_AdamW_mean,acc_AdamW_ci,loss_Align_SGD_mean,loss_Align_SGD_ci,acc_Align_SGD_mean,acc_Align_SGD_ci,loss_EB_SGD_mean,loss_EB_SGD_ci,acc_EB_SGD_mean,acc_EB_SGD_ci,eb_eta_mean,eb_ent_mean,align_metric_mean,time_SGD_ms,time_SGDM_ms,time_SGDCosine_ms,time_RMSprop_ms,time_Adam_ms,time_AdamW_ms,time_Align_SGD_ms,time_EB_SGD_ms
11,0.2364,0.0033,0.9613,0.0047,0.1130,0.0038,0.9656,0.0050,0.2583,0.0033,0.9604,0.0044,0.1338,0.0046,0.9645,0.0048,0.1434,0.0052,0.9635,0.0053,0.1434,0.0052,0.9635,0.0053,0.2444,0.0036,0.9610,0.0046,0.2491,0.0034,0.9607,0.0046,0.0394,0.5135,0.5191,0.0170,0.0181,0.0181,0.0198,0.0278,0.0231,0.0367,0.0418
12,0.2291,0.0033,0.9612,0.0047,0.1108,0.0039,0.9649,0.0050,0.2542,0.0033,0.9604,0.0045,0.1297,0.0045,0.9643,0.0049,0.1409,0.0051,0.9632,0.0049,0.1409,0.0051,0.9632,0.0049,0.2387,0.0036,0.9612,0.0046,0.2420,0.0034,0.9612,0.0045,0.0391,0.5175,0.5071,0.0165,0.0185,0.0177,0.0196,0.0230,0.0272,0.0388,0.0423
13,0.2227,0.0032,0.9612,0.0046,0.1089,0.0039,0.9655,0.0051,0.2511,0.0033,0.9604,0.0046,0.1260,0.0044,0.9645,0.0051,0.1386,0.0050,0.9639,0.0054,0.1387,0.0050,0.9639,0.0054,0.2336,0.0035,0.9611,0.0047,0.2358,0.0034,0.9611,0.0047,0.0388,0.5218,0.4931,0.0167,0.0178,0.0176,0.0196,0.0254,0.0253,0.0445,0.0595
14,0.2169,0.0032,0.9614,0.0046,0.1073,0.0039,0.9655,0.0048,0.2488,0.0033,0.9605,0.0045,0.1228,0.0043,0.9648,0.0049,0.1365,0.0049,0.9643,0.0053,0.1366,0.0049,0.9643,0.0053,0.2290,0.0035,0.9611,0.0047,0.2301,0.0033,0.9612,0.0047,0.0385,0.5249,0.4839,0.0163,0.0178,0.0174,0.0227,0.0268,0.0232,0.0382,0.0455
15,0.2116,0.0032,0.9616,0.0048,0.1058,0.0040,0.9649,0.0048,0.2472,0.0033,0.9606,0.0046,0.1199,0.0043,0.9651,0.0050,0.1346,0.0049,0.9638,0.0048,0.1346,0.0049,0.9638,0.0048,0.2247,0.0035,0.9611,0.0047,0.2250,0.0033,0.9611,0.0047,0.0383,0.5276,0.4756,0.0165,0.0174,0.0178,0.0237,0.0237,0.0236,0.0424,0.0453
16,0.2069,0.0032,0.9618,0.0047,0.1044,0.0040,0.9659,0.0051,0.2461,0.0033,0.9608,0.0046,0.1173,0.0043,0.9648,0.0048,0.1328,0.0048,0.9643,0.0050,0.1328,0.0048,0.9643,0.0050,0.2209,0.0035,0.9616,0.0046,0.2203,0.0033,0.9616,0.0046,0.0381,0.5310,0.4643,0.0164,0.0179,0.0184,0.0209,0.0249,0.0234,0.0431,0.0453
17,0.2025,0.0032,0.9621,0.0046,0.1032,0.0041,0.9651,0.0051,0.2455,0.0033,0.9608,0.0046,0.1149,0.0043,0.9649,0.0045,0.1311,0.0047,0.9648,0.0052,0.1311,0.0047,0.9648,0.0052,0.2174,0.0035,0.9616,0.0046,0.2161,0.0033,0.9616,0.0046,0.0378,0.5341,0.4545,0.0163,0.0184,0.0205,0.0204,0.0255,0.0280,0.0411,0.0434
18,0.1985,0.0032,0.9626,0.0044,0.1021,0.0041,0.9656,0.0046,0.2451,0.0033,0.9608,0.0046,0.1128,0.0043,0.9650,0.0043,0.1295,0.0047,0.9647,0.0053,0.1296,0.0047,0.9647,0.0053,0.2142,0.0035,0.9615,0.0046,0.2121,0.0033,0.9616,0.0047,0.0376,0.5370,0.4447,0.0168,0.0222,0.0207,0.0211,0.0229,0.0262,0.0365,0.0418
19,0.1949,0.0032,0.9628,0.0041,0.1011,0.0041,0.9654,0.0047,0.2450,0.0033,0.9608,0.0046,0.1109,0.0043,0.9655,0.0048,0.1280,0.0046,0.9649,0.0049,0.1281,0.0046,0.9649,0.0049,0.2112,0.0035,0.9614,0.0048,0.2085,0.0033,0.9616,0.0048,0.0374,0.5400,0.4349,0.0217,0.0223,0.0200,0.0248,0.0232,0.0232,0.0370,0.0429
20,0.1915,0.0032,0.9629,0.0042,0.1002,0.0042,0.9651,0.0052,0.2450,0.0033,0.9608,0.0046,0.1091,0.0043,0.9653,0.0049,0.1266,0.0046,0.9642,0.0049,0.1266,0.0046,0.9642,0.0049,0.2084,0.0035,0.9617,0.0048,0.2051,0.0033,0.9618,0.0048,0.0373,0.5417,0.4298,0.0177,0.0185,0.0186,0.0222,0.0229,0.0230,0.0482,0.0479
