t S_mean S_std
0 0.000000 0.000000
1 0.991690 0.007361
2 1.958451 0.015561
3 2.816470 0.030199
4 3.278621 0.042733
5 2.817593 0.035244
6 1.956830 0.016507
7 0.991739 0.006142
8 0.000000 0.000000
