omega ReXi ImXi absXi
315.909091 0.120387 -1.600e-04 0.120387
318.181818 0.120525 -1.520e-04 0.120525
320.454545 0.120661 -1.450e-04 0.120661
322.727273 0.120797 -1.380e-04 0.120797
325.000000 0.120931 -1.320e-04 0.120931
327.272727 0.121065 -1.260e-04 0.121065
329.545455 0.121198 -1.210e-04 0.121198
331.818182 0.121330 -1.160e-04 0.121330
334.090909 0.121461 -1.110e-04 0.121461
336.363636 0.121591 -1.060e-04 0.121591
338.636364 0.121720 -1.020e-04 0.121720
340.909091 0.121849 -9.800e-05 0.121849
343.181818 0.121976 -9.400e-05 0.121976
345.454545 0.122103 -9.000e-05 0.122103
347.727273 0.122230 -8.700e-05 0.122230
350.000000 0.122355 -8.400e-05 0.122355
352.272727 0.122480 -8.100e-05 0.122480
354.545455 0.122604 -7.800e-05 0.122604
356.818182 0.122727 -7.500e-05 0.122727
359.090909 0.122850 -7.200e-05 0.122850
361.363636 0.122972 -7.000e-05 0.122972
363.636364 0.123093 -6.800e-05 0.123093
365.909091 0.123213 -6.500e-05 0.123213
368.181818 0.123333 -6.300e-05 0.123333
370.454545 0.123452 -6.100e-05 0.123452
372.727273 0.123571 -5.900e-05 0.123571
375.000000 0.123689 -5.800e-05 0.123689
377.272727 0.123806 -5.600e-05 0.123806
379.545455 0.123922 -5.400e-05 0.123922
381.818182 0.124038 -5.300e-05 0.124038
384.090909 0.124153 -5.100e-05 0.124153
386.363636 0.124268 -5.000e-05 0.124268
388.636364 0.124382 -4.800e-05 0.124382
390.909091 0.124495 -4.700e-05 0.124495
393.181818 0.124608 -4.600e-05 0.124608
395.454545 0.124720 -4.400e-05 0.124720
397.727273 0.124832 -4.300e-05 0.124832
400.000000 0.124943 -4.200e-05 0.124943
402.272727 0.125053 -4.100e-05 0.125053
404.545455 0.125163 -4.000e-05 0.125163
406.818182 0.125273 -3.900e-05 0.125273
409.090909 0.125381 -3.800e-05 0.125381
411.363636 0.125489 -3.700e-05 0.125489
413.636364 0.125597 -3.600e-05 0.125597
415.909091 0.125704 -3.500e-05 0.125704
418.181818 0.125810 -3.400e-05 0.125810
420.454545 0.125916 -3.400e-05 0.125916
422.727273 0.126022 -3.300e-05 0.126022
425.000000 0.126127 -3.200e-05 0.126127
427.272727 0.126231 -3.100e-05 0.126231
429.545455 0.126335 -3.100e-05 0.126335
431.818182 0.126438 -3.000e-05 0.126438
434.090909 0.126541 -2.900e-05 0.126541
436.363636 0.126643 -2.900e-05 0.126643
438.636364 0.126745 -2.800e-05 0.126745
440.909091 0.126846 -2.800e-05 0.126846
443.181818 0.126947 -2.700e-05 0.126947
445.454545 0.127047 -2.600e-05 0.127047
447.727273 0.127147 -2.600e-05 0.127147
450.000000 0.127246 -2.500e-05 0.127246
452.272727 0.127345 -2.500e-05 0.127345
454.545455 0.127443 -2.400e-05 0.127443
456.818182 0.127541 -2.400e-05 0.127541
459.090909 0.127639 -2.300e-05 0.127639
461.363636 0.127736 -2.300e-05 0.127736
463.636364 0.127832 -2.300e-05 0.127832
465.909091 0.127928 -2.200e-05 0.127928
468.181818 0.128024 -2.200e-05 0.128024
470.454545 0.128119 -2.100e-05 0.128119
472.727273 0.128214 -2.100e-05 0.128214
475.000000 0.128308 -2.100e-05 0.128308
477.272727 0.128402 -2.000e-05 0.128402
479.545455 0.128496 -2.000e-05 0.128496
481.818182 0.128589 -1.900e-05 0.128589
484.090909 0.128681 -1.900e-05 0.128681
486.363636 0.128773 -1.900e-05 0.128773
488.636364 0.128865 -1.900e-05 0.128865
490.909091 0.128956 -1.800e-05 0.128956
493.181818 0.129047 -1.800e-05 0.129047
495.454545 0.129138 -1.800e-05 0.129138
497.727273 0.129228 -1.700e-05 0.129228
500.000000 0.129318 -1.700e-05 0.129318
