chi r L T runtime_s mem_GB nRMSE_Page
32 8 64 128 0.080000 0.000000 0.372300
64 8 64 128 0.340000 0.000000 0.440400
128 8 64 128 1.900000 0.001000 0.512700
256 8 64 128 10.980000 0.004000 0.588000
