scenario c_scale scramble eps resid_final_S rmse_page turnover_step max_g2_amp
Nominal 1.000000 1.000000 0.080000 0.000000 3.351000 0 0.079000
P0-minus 0.750000 1.000000 0.080000 0.000000 3.351000 0 0.081000
P0-plus 1.250000 1.000000 0.080000 0.000000 3.351000 0 0.079000
weak-scramble 1.000000 0.600000 0.080000 0.000000 3.351000 0 0.081000
strong-eps 1.000000 1.000000 0.200000 0.000000 3.351000 0 0.199000
gentle-eps 1.000000 1.000000 0.040000 0.000000 3.351000 0 0.040000
