B mean sd n ci_lo ci_hi
0 0.00 0.00 50 0.00 0.00
10 0.42 0.10 50 0.39 0.45
20 0.66 0.09 50 0.64 0.68
30 0.81 0.07 50 0.79 0.83
40 0.90 0.06 50 0.88 0.92
50 0.94 0.05 50 0.93 0.95
