scenario metric t_stat p_value q_value effect_size
P0-minus rmse_page 46.66 0.0000 0.0000 6.60
P0-plus rmse_page 52.58 0.0000 0.0000 7.44
weak-scramble rmse_page -0.02 0.9827 1.0000 -0.00
strong-eps max_g2_amp 263.99 0.0000 0.0000 37.33
gentle-eps max_g2_amp -88.00 0.0000 0.0000 -12.44
