rho p F_mean F_std
0.0 0.05 0.9988 0.0003
0.2 0.05 0.9984 0.0003
0.4 0.05 0.9974 0.0004
0.6 0.05 0.9950 0.0005
0.8 0.05 0.9912 0.0006
0.0 0.10 0.9914 0.0006
0.2 0.10 0.9890 0.0006
0.4 0.10 0.9850 0.0007
0.6 0.10 0.9780 0.0008
0.8 0.10 0.9680 0.0010
