B mean sd n ci_lo ci_hi
0 0.00 0.00 50 0.00 0.00
10 0.32 0.10 50 0.29 0.35
20 0.55 0.10 50 0.52 0.58
30 0.70 0.08 50 0.68 0.72
40 0.80 0.07 50 0.78 0.82
50 0.86 0.06 50 0.84 0.88
