B mean sd n ci_lo ci_hi
0 0.00 0.00 50 0.00 0.00
10 0.40 0.10 50 0.37 0.43
20 0.63 0.09 50 0.61 0.65
30 0.79 0.07 50 0.77 0.81
40 0.88 0.06 50 0.86 0.90
50 0.93 0.05 50 0.92 0.94
