B mean sd n ci_lo ci_hi
0 0.00 0.00 50 0.00 0.00
10 0.34 0.10 50 0.31 0.37
20 0.57 0.10 50 0.54 0.60
30 0.72 0.08 50 0.70 0.74
40 0.83 0.07 50 0.81 0.85
50 0.88 0.06 50 0.86 0.90
