t S_mean S_std
0 0.000000 0.000000
1 0.990818 0.007619
2 1.957729 0.015090
3 2.822934 0.025287
4 3.284230 0.042637
5 2.825757 0.026290
6 1.961905 0.014900
7 0.992238 0.007033
8 0.000000 0.000000
